"","X","ST_CASE","VEH_NO","PER_NO","DRUGSPECNAME","DRUGRESNAME","RACENAME","MAKENAME","SEAT_POSNAME","BODY_TYPNAME","MOD_YEARNAME","AIR_BAGNAME","VIOLATIONNAME","DRIMPAIRNAME","DRDISTRACTNAME","STATENAME","COUNTYNAME","CITYNAME","MONTHNAME","YEAR","DAY_WEEKNAME","HOURNAME","ROUTENAME","RUR_URBNAME","RD_OWNERNAME","LATITUDE","LONGITUDE","TYP_INTNAME","WEATHERNAME","FATALS","DRUNK_DR"
"63755",63755,370013,2,2,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Hyundai","Front Seat, Right Side","3-door/2-door hatchback","2007","Deployment- Unknown Location","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","ASHEVILLE","January",2020,"Monday","5:00pm-5:59pm","Local Street - Municipality","Urban","City or Municipal Highway Agency",35.59493,-82.57207,"Not an Intersection","Clear",1,0
"63756",63756,370014,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","White","Chevrolet","Front Seat, Left Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2006","Deployment- Unknown Location","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Wednesday","7:00am-7:59am","Interstate","Urban","State Highway Agency",35.59464,-82.40288,"Not an Intersection","Clear",1,0
"63757",63757,370014,2,1,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Toyota","Front Seat, Left Side","4-door sedan, hardtop","2016","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Wednesday","7:00am-7:59am","Interstate","Urban","State Highway Agency",35.59464,-82.40288,"Not an Intersection","Clear",1,0
"63758",63758,370015,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Honda","Front Seat, Left Side","5-door/4-door hatchback","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Wednesday","7:00pm-7:59pm","U.S. Highway","Urban","State Highway Agency",35.55357,-82.47936,"Not an Intersection","Clear",1,0
"63759",63759,370015,2,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","KIA","Front Seat, Left Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2018","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Wednesday","7:00pm-7:59pm","U.S. Highway","Urban","State Highway Agency",35.55357,-82.47936,"Not an Intersection","Clear",1,0
"63760",63760,370015,2,4,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","KIA","Second Seat, Right Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2018","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Wednesday","7:00pm-7:59pm","U.S. Highway","Urban","State Highway Agency",35.55357,-82.47936,"Not an Intersection","Clear",1,0
"63761",63761,370015,2,2,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","KIA","Front Seat, Right Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2018","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Wednesday","7:00pm-7:59pm","U.S. Highway","Urban","State Highway Agency",35.55357,-82.47936,"Not an Intersection","Clear",1,0
"63762",63762,370015,2,3,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","KIA","Second Seat, Left Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2018","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Wednesday","7:00pm-7:59pm","U.S. Highway","Urban","State Highway Agency",35.55357,-82.47936,"Not an Intersection","Clear",1,0
"63763",63763,370016,1,2,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","White","BMW","Front Seat, Right Side","4-door sedan, hardtop","2001","Deployment- Unknown Location","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","ASHEVILLE","January",2020,"Thursday","9:00am-9:59am","Interstate","Urban","State Highway Agency",35.54399,-82.6041,"Not an Intersection","Clear",1,0
"63764",63764,370016,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","BMW","Front Seat, Left Side","4-door sedan, hardtop","2001","Deployment- Unknown Location","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","ASHEVILLE","January",2020,"Thursday","9:00am-9:59am","Interstate","Urban","State Highway Agency",35.54399,-82.6041,"Not an Intersection","Clear",1,0
"63765",63765,370017,1,1,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Jeep / Kaiser-Jeep / Willys- Jeep","Front Seat, Left Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2012","Deployed- Front","Lane violations, generally","Under the Influence of Alcohol, Drugs or Medication","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Monday","12:00pm-12:59pm","U.S. Highway","Urban","State Highway Agency",35.58373,-82.46736,"Not an Intersection","Rain",1,0
"63766",63766,370017,1,1,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Jeep / Kaiser-Jeep / Willys- Jeep","Front Seat, Left Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2012","Deployed- Front","Willful reckless driving; driving to endanger; negligent driving","Under the Influence of Alcohol, Drugs or Medication","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Monday","12:00pm-12:59pm","U.S. Highway","Urban","State Highway Agency",35.58373,-82.46736,"Not an Intersection","Rain",1,0
"63767",63767,370017,1,1,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Jeep / Kaiser-Jeep / Willys- Jeep","Front Seat, Left Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2012","Deployed- Front","Driving while impaired","Under the Influence of Alcohol, Drugs or Medication","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Monday","12:00pm-12:59pm","U.S. Highway","Urban","State Highway Agency",35.58373,-82.46736,"Not an Intersection","Rain",1,0
"63768",63768,370017,1,1,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Jeep / Kaiser-Jeep / Willys- Jeep","Front Seat, Left Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2012","Deployed- Front","Serious violation resulting in death","Under the Influence of Alcohol, Drugs or Medication","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Monday","12:00pm-12:59pm","U.S. Highway","Urban","State Highway Agency",35.58373,-82.46736,"Not an Intersection","Rain",1,0
"63769",63769,370017,1,1,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Jeep / Kaiser-Jeep / Willys- Jeep","Front Seat, Left Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2012","Deployed- Front","Driving while license withdrawn","Under the Influence of Alcohol, Drugs or Medication","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Monday","12:00pm-12:59pm","U.S. Highway","Urban","State Highway Agency",35.58373,-82.46736,"Not an Intersection","Rain",1,0
"63770",63770,370017,2,5,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Chrysler","Front Seat, Right Side","Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)","2014","Deployment- Unknown Location","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Monday","12:00pm-12:59pm","U.S. Highway","Urban","State Highway Agency",35.58373,-82.46736,"Not an Intersection","Rain",1,0
"63771",63771,370017,2,2,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Chrysler","Second Seat, Left Side","Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)","2014","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Monday","12:00pm-12:59pm","U.S. Highway","Urban","State Highway Agency",35.58373,-82.46736,"Not an Intersection","Rain",1,0
"63772",63772,370017,2,4,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Chrysler","Third Seat, Left Side","Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)","2014","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Monday","12:00pm-12:59pm","U.S. Highway","Urban","State Highway Agency",35.58373,-82.46736,"Not an Intersection","Rain",1,0
"63773",63773,370017,2,1,"Test Not Given","Test Not Given","Other Race","Chrysler","Front Seat, Left Side","Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)","2014","Deployed- Combination","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Monday","12:00pm-12:59pm","U.S. Highway","Urban","State Highway Agency",35.58373,-82.46736,"Not an Intersection","Rain",1,0
"63774",63774,370017,2,3,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Chrysler","Second Seat, Right Side","Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)","2014","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Monday","12:00pm-12:59pm","U.S. Highway","Urban","State Highway Agency",35.58373,-82.46736,"Not an Intersection","Rain",1,0
"63775",63775,370017,2,1,"Test Not Given","Test Not Given","White","Chrysler","Front Seat, Left Side","Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)","2014","Deployed- Combination","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Monday","12:00pm-12:59pm","U.S. Highway","Urban","State Highway Agency",35.58373,-82.46736,"Not an Intersection","Rain",1,0
"63776",63776,370018,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","White","Ford","Front Seat, Left Side","Light Pickup","2008","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","CAMDEN (29)","NOT APPLICABLE","January",2020,"Tuesday","6:00am-6:59am","U.S. Highway","Rural","State Highway Agency",36.51567,-76.3598,"Not an Intersection","Cloudy",1,0
"63777",63777,370019,1,1,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Chevrolet","Front Seat, Left Side","Light Pickup","2018","Deployed- Combination","Willful reckless driving; driving to endanger; negligent driving","Under the Influence of Alcohol, Drugs or Medication","Not Reported","North Carolina","CARTERET (31)","NOT APPLICABLE","January",2020,"Wednesday","12:00pm-12:59pm","State Highway","Rural","State Highway Agency",34.82159,-76.73816,"Not an Intersection","Clear",1,1
"63778",63778,370019,1,1,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Chevrolet","Front Seat, Left Side","Light Pickup","2018","Deployed- Combination","Speeding (above the speed limit)","Under the Influence of Alcohol, Drugs or Medication","Not Reported","North Carolina","CARTERET (31)","NOT APPLICABLE","January",2020,"Wednesday","12:00pm-12:59pm","State Highway","Rural","State Highway Agency",34.82159,-76.73816,"Not an Intersection","Clear",1,1
"63779",63779,370019,1,1,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Chevrolet","Front Seat, Left Side","Light Pickup","2018","Deployed- Combination","Serious violation resulting in death","Under the Influence of Alcohol, Drugs or Medication","Not Reported","North Carolina","CARTERET (31)","NOT APPLICABLE","January",2020,"Wednesday","12:00pm-12:59pm","State Highway","Rural","State Highway Agency",34.82159,-76.73816,"Not an Intersection","Clear",1,1
"63780",63780,370019,1,1,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Chevrolet","Front Seat, Left Side","Light Pickup","2018","Deployed- Combination","Failure to require restraint use (by self or passengers)","Under the Influence of Alcohol, Drugs or Medication","Not Reported","North Carolina","CARTERET (31)","NOT APPLICABLE","January",2020,"Wednesday","12:00pm-12:59pm","State Highway","Rural","State Highway Agency",34.82159,-76.73816,"Not an Intersection","Clear",1,1
"63781",63781,370019,1,1,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Chevrolet","Front Seat, Left Side","Light Pickup","2018","Deployed- Combination","Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)","Under the Influence of Alcohol, Drugs or Medication","Not Reported","North Carolina","CARTERET (31)","NOT APPLICABLE","January",2020,"Wednesday","12:00pm-12:59pm","State Highway","Rural","State Highway Agency",34.82159,-76.73816,"Not an Intersection","Clear",1,1
"63782",63782,370019,1,1,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Chevrolet","Front Seat, Left Side","Light Pickup","2018","Deployed- Combination","Manslaughter or homicide","Under the Influence of Alcohol, Drugs or Medication","Not Reported","North Carolina","CARTERET (31)","NOT APPLICABLE","January",2020,"Wednesday","12:00pm-12:59pm","State Highway","Rural","State Highway Agency",34.82159,-76.73816,"Not an Intersection","Clear",1,1
"63783",63783,370019,2,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","White","Toyota","Front Seat, Left Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2011","Deployed- Combination","None","None/Apparently Normal","Not Reported","North Carolina","CARTERET (31)","NOT APPLICABLE","January",2020,"Wednesday","12:00pm-12:59pm","State Highway","Rural","State Highway Agency",34.82159,-76.73816,"Not an Intersection","Clear",1,1
"63784",63784,370019,3,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Ford","Front Seat, Left Side","Light Pickup","2011","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","CARTERET (31)","NOT APPLICABLE","January",2020,"Wednesday","12:00pm-12:59pm","State Highway","Rural","State Highway Agency",34.82159,-76.73816,"Not an Intersection","Clear",1,1
"63785",63785,370020,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Chrysler","Front Seat, Left Side","Station Wagon (excluding van and truck based)","2004","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","CASWELL (33)","NOT APPLICABLE","January",2020,"Tuesday","6:00pm-6:59pm","Other","Rural","State Highway Agency",36.48504,-79.51556,"Not an Intersection","Clear",1,0
"63786",63786,370021,1,1,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Nissan/Datsun","Front Seat, Left Side","4-door sedan, hardtop","2012","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","CATAWBA (35)","NOT APPLICABLE","January",2020,"Friday","6:00am-6:59am","Other","Rural","State Highway Agency",35.55821,-80.99049,"Not an Intersection","Cloudy",1,1
"63787",63787,370022,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","White","Ford","Front Seat, Left Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2003","Deployment- Unknown Location","None","None/Apparently Normal","Not Reported","North Carolina","CATAWBA (35)","NOT APPLICABLE","January",2020,"Wednesday","12:00pm-12:59pm","Other","Rural","State Highway Agency",35.62981,-81.39295,"Not an Intersection","Cloudy",1,0
"63788",63788,370023,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Ford","Front Seat, Left Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2015","Deployed- Combination","None","Reported as Unknown if Impaired","Not Reported","North Carolina","CATAWBA (35)","NEWTON","January",2020,"Tuesday","11:00am-11:59am","State Highway","Rural","State Highway Agency",35.69213,-81.2017,"Not an Intersection","Clear",2,0
"63789",63789,370023,1,2,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","White","Ford","Front Seat, Right Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2015","Deployed- Combination","None","Reported as Unknown if Impaired","Not Reported","North Carolina","CATAWBA (35)","NEWTON","January",2020,"Tuesday","11:00am-11:59am","State Highway","Rural","State Highway Agency",35.69213,-81.2017,"Not an Intersection","Clear",2,0
"63790",63790,370023,1,4,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Ford","Second Seat, Right Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2015","Deployed- Combination","None","Reported as Unknown if Impaired","Not Reported","North Carolina","CATAWBA (35)","NEWTON","January",2020,"Tuesday","11:00am-11:59am","State Highway","Rural","State Highway Agency",35.69213,-81.2017,"Not an Intersection","Clear",2,0
"63791",63791,370023,1,3,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","White","Ford","Second Seat, Left Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2015","Deployed- Combination","None","Reported as Unknown if Impaired","Not Reported","North Carolina","CATAWBA (35)","NEWTON","January",2020,"Tuesday","11:00am-11:59am","State Highway","Rural","State Highway Agency",35.69213,-81.2017,"Not an Intersection","Clear",2,0
"63792",63792,370024,1,2,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","White","Toyota","Front Seat, Right Side","3-door/2-door hatchback","2008","Deployment- Unknown Location","Speed greater than reasonable & prudent (not necessarily over the limit)","None/Apparently Normal","Not Reported","North Carolina","CLEVELAND (45)","NOT APPLICABLE","January",2020,"Friday","12:00pm-12:59pm","State Highway","Urban","State Highway Agency",35.33663,-81.50592,"Not an Intersection","Snow",1,0
"63793",63793,370024,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Toyota","Front Seat, Left Side","3-door/2-door hatchback","2008","Deployment- Unknown Location","Speed greater than reasonable & prudent (not necessarily over the limit)","None/Apparently Normal","Not Reported","North Carolina","CLEVELAND (45)","NOT APPLICABLE","January",2020,"Friday","12:00pm-12:59pm","State Highway","Urban","State Highway Agency",35.33663,-81.50592,"Not an Intersection","Snow",1,0
